Studio,Date,Headcount,Parent,Type,Source
Wargaming USA,2025-01-15,,Wargaming.Net,Online,Direct
Highwire Games,2025-01-10,,,Console,Direct
Toadman Interactive,2025-01-09,69,Enad Global7,Console,https://www.enadglobal7.com/press-releases/enad-global-7-initiates-a-wind-down-of-the-operations-in-toadman/
Pirahna Games,2025-01-09,38,Enad Global7,Console,https://www.enadglobal7.com/press-releases/eg7-undertakes-business-optimization-at-one-of-its-studios/
Counterplay Games,2025-01-09,,,Indie,
Freejam,2025-01-09,,,Indie,https://www.gamedeveloper.com/business/robocraft-2-developer-freejam-shuts-down
Splash Damage,2025-01-08,150,Tencent,Console,"https://www.gamesindustry.biz/splash-damage-jobs-at-risk-following-transformers-reactivate-cancellation, Direct"
Jar of Sparks,2025-01-06,35,Netease,Console,LinkedIn
Netmarble F&C,2025-01-02,20,Netmarble,Mobile,https://www.yna.co.kr/view/AKR20250102076600017section=industry/game
Hothead Games,2024-12-20,,,Indie,https://www.gamedeveloper.com/production/hothead-games-has-shut-down-after-almost-20-years
Warner Brothers Montreal,2024-12-12,99,Warner Brothers,Console,https://www.gamesindustry.biz/99-jobs-cut-at-warner-bros-montreal
People Can Fly,2024-12-10,120,,Console,Twitter
Deck Nine Games,2024-12-06,,,Indie,Twitter
Sweet Bandits,2024-12-04,10,,Indie,https://www.gamedeveloper.com/business/deceive-inc-developer-sweet-bandits-shuts-down-after-reaching-breaking-point-
IllFonic,2024-12-04,,,Indie,Twitter
Ubisoft Sydney,2024-12-04,134,Ubisoft,Console,https://www.gamefile.news/p/wolfenstein-youngblood-revisit-machine-games-indiana-jones-great-circle
Ubisoft San Francisco / Osaka,2024-12-03,152,Ubisoft,Console,https://insider-gaming.com/ubisoft-xdefiant-shutting-down-in-june/
Torn Banner Studios,2024-12-03,55,,Indie,LinkedIn
Worlds Untold,2024-11-26,35,Netease,Console,LinkedIn
Humanoid Origin,2024-11-25,70,,Console,LinkedIn
KING Art Games,2024-11-25,10,,Indie,Direct
Zapper Games,2024-11-19,18,Embracer,Console,Direct
Heart Machine,2024-11-19,8,,Indie,Direct
Reflector Entertainment,2024-11-18,45,Bandai Namco,Console,https://reflectorentertainment.com/en/news/message-to-the-reflector-community
Alpha Channel,2024-11-18,14,,Indie,Direct
NCSoft,2024-11-15,500,,Online,https://www.yna.co.kr/view/AKR20241111042000017section=industry/game
Thunderful Games,2024-11-14,100,,Console,https://www.gamesindustry.biz/thunderful-announces-second-restructuring-program-resulting-in-more-layoffs
Lilith Games,2024-11-13,40,,Mobile,http://www.gamelook.com.cn/2024/11/558105
Skydance Interactive,2024-11-01,12,Paramount Global,AR/VR,LinkedIn
GOG,2024-10-30,20,CD Projekt,Publisher,https://cdaction.pl/publicystyka/wielkie-zwolnienia-w-gog-u-pracownicy-naswietlaja-wewnetrzne-problemy-firmy-tylko-u-nas
ProbablyMonsters,2024-10-30,50,,Console,https://www.gamesindustry.biz/probablymonsters-lays-off-about-50-people-as-battle-barge-project-cancelled
Fingersoft,2024-10-30,14,,Mobile,https://www.pocketgamer.biz/fingersoft-lays-off-14-staff-after-substantial-decline-in-ad-revenue/
Firewalk Studios,2024-10-29,174,Sony,Console,https://www.geekwire.com/2024/sony-shutting-down-seattle-area-game-developer-firewalk-studios/
Neon Koi,2024-10-29,45,Sony,Mobile,https://mobilegamer.biz/playstation-is-closing-mobile-studio-neon-koi/
MachineZone,2024-10-24,,AppLovin,Mobile,https://app2top.com/news/applovin-and-machine-zone-implement-layoffs-amid-declining-revenues-272980.html
Inflexion Games,2024-10-22,50,Tencent,Console,https://www.gamesindustry.biz/inflexion-games-uk-division-is-reportedly-closing-down
Netflix Studio Blue,2024-10-22,35,Netflix,Online,https://www.gamesindustry.biz/netflix-shuts-down-california-game-studio
Surgent Studios,2024-10-18,,,Indie,https://www.gamesindustry.biz/takes-of-kenzera-zau-dev-surgent-studios-puts-entire-games-team-on-hiatus-due-to-lack-of-funding
DON'T NOD,2024-10-16,69,,Console,https://www.gamesindustry.biz/dont-nod-admits-challenging-times-as-reorganisation-project-puts-up-to-69-jobs-at-risk
Riot Games,2024-10-15,32,Tencent,Online,https://www.gamedeveloper.com/business/riot-games-lays-off-staff-to-solve-challenges-and-build-for-the-future-
NaturalMotion,2024-10-10,,Take-Two Interactive,Mobile,https://www.gamesindustry.biz/naturalmotion-facing-potential-layoffs-in-us-and-uk
Cryptic Studios,2024-10-09,,Embracer,Online,https://www.gamesindustry.biz/cryptic-studios-makes-further-layoffs-in-fresh-round-of-cuts
TequilaWorks,2024-10-08,,Tencent,Console,https://www.gamesindustry.biz/tequilla-works-lays-off-small-number-of-staff-cancels-unannounced-game
Antstream Arcade,2024-10-04,,,Online,https://www.gamedeveloper.com/business/antstream-arcade-conducts-small-layoffs-in-strategic-shift-in-focus-
Studio Black Flag,2024-10-02,5,,Indie,https://www.gamedeveloper.com/business/orphan-age-dev-studio-black-flag-closes-down-after-publisher-split
XR Games,2024-10-01,72,,AR/VR,https://www.uploadvr.com/xr-games-face-72-layoffs-with-large-scale-restructuring/
HiRez Studios,2024-10-01,70,,Online,"Direct, https://www.gamedeveloper.com/business/hi-rez-studios-lays-off-staff-to-ensure-smite-2-s-long-term-success"
Sharkmob London,2024-10-01,,Tencent,Console,https://www.gamesindustry.biz/sharkmob-london-faces-layoffs-after-game-cancelled
Nexon America,2024-09-30,,Nexon,Publisher,https://www.gamedeveloper.com/business/nexon-america-is-making-layoffs-to-pursue-exciting-ip-growth-strategy
Merge Games,2024-09-26,,Maximum Entertainment,Publisher,https://www.gamesindustry.biz/merge-games-closing-down-after-15-years
Mountaintop Studios,2024-09-23,13,,Online,https://www.gamesindustry.biz/mountaintop-studios-makes-difficult-decision-to-lay-off-13
Airship Syndicate,2024-09-18,16,,Indie,LinkedIn
SkyBox Labs,2024-09-18,25,Netease,Indie,LinkedIn
Midwinter Entertainment,2024-09-17,35,Behaviour Interactive,Console,LinkedIn
Evening Star,2024-09-13,6,,Indie,LinkedIn
Microsoft Gaming,2024-09-12,650,Microsoft,Publisher,https://www.theverge.com/2024/9/12/24242695/microsoft-xbox-layoffs-650-employees
Neon Machine,2024-09-12,35,,Indie,Direct
Midnight Society,2024-09-11,,,Indie,https://www.gamesindustry.biz/midnight-society-affected-by-layoffs
Lost Boys Interactive,2024-09-06,139,Embracer Group,Console,LinkedIn
Tilting Point,2024-09-02,90,,Mobile,https://mobilegamer.biz/tilting-point-to-layoff-up-to-20-of-staff/
Ballistic Moon Ltd.,2024-08-30,,,Console,
Ouka Studios,2024-08-28,,Netease,Console,https://www.bloomberg.com/news/articles/2024-08-30/tencent-netease-rethink-japan-approach-as-game-strategy-stalls
Toadman Interactive,2024-08-28,100,Enad Global7,Indie,LinkedIn
Visual Concepts South,2024-08-23,22,Take-Two Interactive,Console,"Direct, https://www.gamedeveloper.com/business/visual-concepts-lays-off-south-studio-behind-lego-2k-drive"
CodeName Entertainment,2024-08-16,6,,Indie,https://codenameentertainment.com/page=blog&post_id=1709#blog
Ubisoft San Francisco / NC,2024-08-15,45,Ubisoft,Console,https://www.gamedeveloper.com/business/ubisoft-cuts-45-jobs-across-cary-and-san-francisco-teams
Machine Zone,2024-08-15,,AppLovin,Mobile,Direct
Archiact,2024-08-12,35,,AR/VR,LinkedIn
Com2uS,2024-08-09,100,Com2uS,Mobile,https://www.yna.co.kr/view/AKR20240809031552527section=industry/game
Ready At Dawn,2024-08-08,,Meta,AR/VR,https://www.gamesindustry.biz/meta-reportedly-shutters-ready-at-dawn
Jam City,2024-08-02,85,Netmarble,Mobile,https://www.gamedeveloper.com/business/jam-city-lays-off-nearly-85-employees-as-industry-fails-to-hit-upward-trend-
ProbablyMonsters,2024-08-01,,,Console,LinkedIn
Bungie,2024-07-31,220,Sony,Console,https://www.bungie.net/7/en/News/article/newpath
Lively Studio,2024-07-29,,Keywords Studio,Mobile,"Direct, https://www.gamesindustry.biz/electric-squares-lively-studio-faces-small-number-of-layoffs"
Humble Games,2024-07-23,36,Ziff Davis,Publisher,LinkedIn
NetherRealm Studios,2024-07-17,50,Warner Brothers,Console,Direct
Rumble Games,2024-07-12,35,Forte,Mobile,LinkedIn
Splash Damage,2024-07-11,,Splash Damage Group Limited,Console,https://www.gamedeveloper.com/business/splash-damage-confirms-small-number-of-employees-could-be-laid-off
Wicked Games AG.,2024-07-03,15,,Indie,Direct
Surgent Studios,2024-07-02,12,,Indie,https://www.gamesindustry.biz/surgent-studios-cuts-jobs-months-after-launch-of-debut-title-tales-of-kenzera-zau
Ubisoft Toronto,2024-06-27,33,Ubisoft,Console,https://www.pcgamer.com/gaming-industry/less-than-a-month-after-joining-work-on-the-sands-of-time-remake-ubisoft-toronto-lays-off-33-employees-to-ensure-it-can-deliver-on-its-ambitious-roadmap/
GameLoft Toronto,2024-06-26,49,Viacom,Mobile,https://www.gamesindustry.biz/report-of-mass-layoffs-at-gameloft-toronto
Paradox Tectonic,2024-06-18,24,Paradox Interactive,Console,https://www.paradoxinteractive.com/media/press-releases/press-release/paradox-interactive-to-close-down-paradox-tectonic
Techland,2024-06-18,,Tencent,Console,https://www.gry-online.pl/newsroom/tworcy-dying-light-2-takze-oszczedzaja-techland-przeprowadzil-zwo/z429979#google_vignette
Pieces Interactive AB,2024-06-17,40,Embracer Group,Console,https://www.gamesindustry.biz/report-embracer-shutters-alone-in-the-dark-dev-pieces-interactive
Striking Distance Studios,2024-06-14,,Krafton,Console,
Galvanic Games Inc.,2024-06-14,,,Indie,LinkedIn
VRChat,2024-06-12,50,,AR/VR,https://www.roadtovr.com/vrchat-lays-off-30-of-company/
Archiact,2024-06-12,,,AR/VR,LinkedIn
Sumo Group,2024-06-11,150,Tencent,Console,https://www.gamesindustry.biz/sumo-group-to-reduce-staff-by-up-to-15
Timbre Games,2024-06-11,100,Tencent,Console,https://www.gamesindustry.biz/sumo-group-to-reduce-staff-by-up-to-15
GameLoft Kharkiv,2024-06-05,41,Vivendi,Mobile,https://gamedev.dou.ua/news/layoffs-in-gameloft-kharkiv/
Behaviour Interactive,2024-06-04,95,,Console,https://www.gamesindustry.biz/behaviour-to-lay-off-up-to-95-employees
Avalanche Studios (New York / Montreal),2024-06-03,50,Avalanche Studios Group,Console,https://avalanchestudios.com/stories/statement-nymr
Fall Damage,2024-05-23,50,Fragbite,Online,https://www.gamesindustry.biz/fragbite-declares-bankruptcy-for-developer-fall-damage-studio-seven-months-after-acquisition
Hatchery Games,2024-05-23,13,,Indie,https://cdn-contenu.quebec.ca/cdn-contenu/adm/min/emploi-solidarite-sociale/publications-adm/documents-administratifs/avis_licenciements_collectifs/LI_MENS_2024-03_Internet.pdf
Singularity 6,2024-05-16,36,,Online,Direct
Phoenix Labs,2024-05-16,162,,Console,"LinkedIn , https://www.sfgate.com/tech/article/video-game-layoffs-phoenix-labs-19484488.php"
GameLoft Cluj,2024-05-16,136,Vivendi,Mobile,https://www.zf.ro/business-hi-tech/dezvoltatorul-jocuri-gameloft-inchide-studioul-cluj-ajuns-136-22378341
Studio Wildcard,2024-05-15,6,SDE Inc.,Console,https://www.gamedeveloper.com/business/studio-wildcard-says-layoff-of-6-developers-will-not-impact-development-schedule-
Mighty Kingdom,2024-05-13,25,,Mobile,https://press-start.com.au/news/2024/05/13/south-australias-mighty-kingdom-is-laying-off-28-of-its-staff/
CI Games,2024-05-10,30,,Indie,https://www.gamesindustry.biz/around-30-people-laid-off-in-ci-games-final-round-of-job-cuts
Dawon Interactive,2024-05-08,,Prytania Interactive,Indie,LinkedIn
Lightforge Games,2024-05-08,35,,Online,LinkedIn
Bethesda Softworks,2024-05-07,,Microsoft,Publishing,https://www.gamesindustry.biz/xbox-reportedly-shutting-down-four-bethesda-studios
Tango GameWorks,2024-05-07,150,Microsoft,Console,https://www.gamesindustry.biz/xbox-reportedly-shutting-down-four-bethesda-studios
Alpha Dog Games,2024-05-07,25,Microsoft,Mobile,https://www.gamesindustry.biz/xbox-reportedly-shutting-down-four-bethesda-studios
Arkane Austin,2024-05-07,60,Microsoft,Console,https://www.gamesindustry.biz/xbox-reportedly-shutting-down-four-bethesda-studios
Paladin Studios,2024-05-02,45,,Indie,https://www.gamesindustry.biz/paladin-studios-shuts-down-after-nearly-19-years
Playtika Belarus,2024-04-30,150,PlayTika,Mobile,https://app2top.ru/news/playtika-likvidiruet-yuridicheskoe-litso-v-belarusi-218875.html
Keoken Interactive,2024-04-30,13,,Indie,https://www.gamesindustry.biz/keoken-interactive-lays-off-team-after-failing-to-find-funding-at-gdc
A Thinking Ape,2024-04-29,25,Embracer Group,Mobile,https://www.pocketgamer.biz/news/83897/a-thinking-ape-lays-off-staff-across-game-design-software-engineering-art-teams-and-more/
NCSoft,2024-04-26,,NCSoft,Publisher,https://mdtoday.co.kr/news/view/1065546903977283
Bethesda France,2024-04-23,15,Microsoft,Publisher,https://app2top.ru/news/bethesda-zakry-la-podrazdelenie-vo-frantsii-217339.html
Flaming Fowl Studios,2024-04-23,20,,Indie,https://www.gamesindustry.biz/gloomhaven-studio-flaming-fowl-lays-off-over-20-staff
ModernWolf,2024-04-18,6,,Publisher,https://www.gamedeveloper.com/business/modern-wolf-lays-off-6-staff-in-studio-restructuring
Take-Two Interactive,2024-04-17,600,Take-Two Interactive,Publisher,https://variety.com/2024/gaming/news/grand-theft-auto-take-two-interactive-layoffs-canceled-games-1235973835/
Kwalee,2024-04-16,40,,Mobile,https://mobilegamer.biz/layoffs-at-kwalee-as-it-restructures-around-new-growth-opportunities/
Traega Entertainment,2024-04-15,19,,Indie,
Possibility Space,2024-04-12,70,Prytania Media,Indie,https://www.gamesindustry.biz/possibility-space-shuts-down
Ubisoft Korea,2024-04-09,,Ubisoft,Publisher,https://www.mk.co.kr/en/it/10986173
Singularity 6,2024-04-04,49,,Online,Direct
Relic Entertainment,2024-04-04,40,,Indie,LinkedIn
MI-CLOS Studio,2024-04-03,20,,Indie,LinkedIn
Whitethorn Games,2024-04-03,5,,Publisher,Direct
Spearhead Games,2024-04-03,31,,Indie,https://cdn-contenu.quebec.ca/cdn-contenu/adm/min/emploi-solidarite-sociale/publications-adm/documents-administratifs/avis_licenciements_collectifs/LI_MENS_2024-02_Internet.pdf
Ubisoft,2024-04-02,45,Ubisoft,Publisher,https://www.gamesindustry.biz/ubisoft-hit-with-another-wave-of-layoffs
Bold Spirit Game Studio,2024-04-01,30,,Indie,LinkedIn
Creative Assembly /Sega HARDLight,2024-03-28,240,Sega,Console,https://www.gamesindustry.biz/sega-sells-relic-and-will-cut-240-jobs-across-uk-studios
Certain Affinity,2024-03-28,25,,Console,LinkedIn
Gearbox,2024-03-28,,Take-Two Interactive,Console,https://www.gamedeveloper.com/business/gearbox-is-laying-off-staff-following-embracer-breakup
Smilegate Barcelona,2024-03-27,45,Smilegate,Console,https://www.gamesindustry.biz/report-smilegate-barcelona-has-closed
Tarsier Studios,2024-03-22,,Embracer Group,Console,
Velan Studios,2024-03-17,46,,Indie,Twitter
Happy Volcano,2024-03-17,8,,Indie,Direct
Something Wicked Games,2024-03-15,40,,Indie,LinkedIn
Sega of America,2024-03-08,61,Sega,Publisher,https://www.gamesindustry.biz/sega-of-america-to-lay-off-61-employees
Deviation Games,2024-03-08,50,,Console,LinkedIn
ZA/UM,2024-03-06,24,,Indie,Direct
Eggnut Games,2024-03-06,15,,Indie,https://www.gamesindustry.biz/eggnut-ceases-operations
Torus Games,2024-03-01,8,,Indie,Twitter
Babaroga Games,2024-03-01,4,,Indie,Direct
Radical Forge,2024-03-01,6,,Indie,https://www.gamesindustry.biz/radical-forge-lays-off-handful-of-staff
FrogSong Studios,2024-03-01,25,,Indie,LinkedIn
505 Games,2024-02-29,,Digital Bros. Group,Publisher,https://www.eurogamer.net/ghostrunner-2-publisher-505-closes-offices-in-germany-spain-and-france
Keoken Interactive,2024-02-29,4,,Indie,https://www.psu.com/news/deliver-us-mars-studio-keoken-interactive-confirms-layoffs/
Wildlife Studios,2024-02-28,130,,Mobile,https://startups.com.br/demissoes/wildlife-studios-corta-mais-21-do-quadro-em-3a-leva-de-demissoes/
Electronic Arts,2024-02-28,670,Electronic Arts,Publisher,https://www.gamesindustry.biz/ea-cutting-5-of-workforce
Deck Nine Games,2024-02-27,25,,Indie,Twitter
PlayStation Studios,2024-02-27,900,Sony,Console,https://www.theverge.com/2024/2/27/24084494/sony-playstation-layoffs-2024
Die Gut Fabrik,2024-02-26,10,,Indie,LinkedIn
SuperMassive Games,2024-02-26,90,,Console,https://www.bloomberg.com/news/articles/2024-02-26/british-game-maker-supermassive-set-to-lay-off-90-workers
"Electornic Arts (CodeMasters, Glu Mobile)",2024-02-23,,Electronic Arts,Mobile,https://www.gamesindustry.biz/ea-cutting-small-number-of-staff-as-it-sunsets-two-mobile-games
GameLoft Lviv,2024-02-21,38,Vivendi,Mobile,https://www.gamesindustry.biz/gameloft-sees-staff-redundancies-in-lviv-and-toronto-offices
Disruptive Games,2024-02-21,,,Console,LinkedIn
Build a Rocket Boy,2024-02-19,,,Console,https://www.gamesindustry.biz/build-a-rocket-boy-reportedly-facing-layoffs
Noggin,2024-02-16,,Paramount Global,Online,https://kidscreen.com/2024/02/15/paramount-has-laid-off-the-entire-noggin-team/
Scopely,2024-02-14,15,Savvy Games Group,Mobile,https://www.gamesindustry.biz/scopely-layoffs-hit-kingdom-maker-team
Daybreak Games,2024-02-12,15,Enad Global 7,Online,https://www.gamesindustry.biz/daybreak-confirms-less-than-15-layoffs
Genvid Technologies,2024-02-12,,,Online,LinkedIn
Curve Games,2024-02-09,5,,Catalis Group,Direct
Threshold Games,2024-02-09,11,,Indie,LinkedIn
GameScience,2024-02-07,10,Prytania Media,Indie,LinkedIn
Hidden Path Entertainment,2024-02-07,44,,Indie,LinkedIn
91Act,2024-02-07,15,,Indie,http://www.gamelook.com.cn/2024/02/538064
Cloud Imperium Games,2024-02-06,,,Indie,LinkedIn
Visual Concepts Austin,2024-02-06,,Take-Two Interactive,Console,
Crop Circle Games,2024-02-05,,Prytania Media,Indie,LinkedIn
Chimera Entertainment,2024-02-01,20,Remote Control Productions,Mobile,
Threaks,2024-02-01,25,,Indie,LinkedIn
Artificer,2024-01-31,,Devolver Digital,Console,LinkedIn
Airship Syndicate,2024-01-31,12,,Indie,LinkedIn
Rovio Montreal (Studio 6),2024-01-31,12,Sega,Mobile,https://cdn-contenu.quebec.ca/cdn-contenu/adm/min/emploi-solidarite-sociale/publications-adm/documents-administratifs/avis_licenciements_collectifs/LI_MENS_Internet_2023-12.pdf
Starward Industries,2024-01-30,15,,Console,"https://www.stockwatch.pl/czat-inwestorow-gieldowych/andrzej-szafraniec-oraz-maciej-dobrowolski-czlonkowie-zarzadu-starward-industries-start-29-stycznia-o-1100,687"
Nimble Giant,2024-01-30,,Embracer Group,Console,LinkedIn
Eidos Montreal,2024-01-29,97,Embracer Group,Console,https://www.videogameschronicle.com/news/new-deus-ex-game-reportedly-cancelled-amid-layoffs-at-eidos-montreal/
Reikon Games,2024-01-25,80,,Indie,https://www.ign.com/articles/ruiner-developer-reikon-games-reportedly-lays-off-80-of-the-company
Activision Blizzard,2024-01-25,1900,Microsoft,,https://www.theverge.com/2024/1/25/24049050/microsoft-activision-blizzard-layoffs
Black Forest Games,2024-01-25,40,Embracer Group,Console,https://comicbook.com/gaming/news/teenage-muntant-ninja-turtles-tmnt-the-last-ronin-game-developer-layoffs/
Plarium,2024-01-24,45,Aristrocrat,Mobile,https://en.globes.co.il/en/article-video-gaming-co-plarium-lays-off-45-1001467413
People Can Fly Studios,2024-01-24,30,,Console,https://www.gamesindustry.biz/people-can-fly-reduces-its-workforce
WarDucks,2024-01-23,10,,Mobile,https://www.businesspost.ie/article/irish-gaming-developer-warducks-goes-out-of-business/utm_campaign=article&utm_source=linkedin&utm_medium=web
Big Fish Games,2024-01-23,,Aristocrat Technologies,Mobile,
Riot Games,2024-01-22,530,Tencent,Online,https://www.riotgames.com/en/news/2024-rioter-update
Little Red Dog Games,2024-01-22,26,,Indie,
Chief Rebel,2024-01-19,,,Indie,LinkedIn
Metaverse World,2024-01-19,70,Netmarble,Online,https://www.yna.co.kr/view/AKR20240119080700017section=industry/game
Ntreev Soft,2024-01-18,70,NCSoft,Online,https://koreajoongangdaily.joins.com/news/2024-01-18/business/industry/Game-publishers-cancel-titles-cut-employees-as-economy-struggles/1961701
31st Union,2024-01-18,,Take-Two Interactive,Console,
CI Games,2024-01-18,30,,Console,https://www.gamesindustry.biz/ci-games-lays-off-10-of-staff
Behaviour Interactive,2024-01-18,45,,Console,https://www.gamesindustry.biz/report-behaviour-interactive-lays-off-45-employees
Wimo Games,2024-01-17,20,,Online,LinkedIn
Netspeak Games,2024-01-17,25,,Indie,https://www.gamedeveloper.com/business/sunshine-days-developer-netspeak-games-is-making-layoffs
Thunderful Group,2024-01-17,75,Thunderful Group,Publisher,https://www.gamesindustry.biz/thunderful-announces-restructuring-that-will-cut-20-of-its-workforce
Pixelberry,2024-01-17,,Nexon,Mobile,https://www.gamedeveloper.com/business/nexon-owned-mobile-studio-pixelberry-is-conducting-layoffs
Pirahna Bytes,2024-01-16,,Embracer Group,Console,"https://www.gamestar.de/artikel/piranha-bytes-gothic-elex-schliessung,3406996.html"
PTW,2024-01-16,45,,Publisher,https://www.gamedeveloper.com/business/support-studio-ptw-lays-off-45-staff-across-global-teams
Fundamentally Games,2024-01-15,5,,Publisher,Direct
